proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,record_date,meeting_type,proxy_contest,proxy_card,recommendation_source,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__company_data__fiscal_year_end,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__street_2,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__street_2,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
3,Advisory Vote on Say on Pay Frequency,Management,One Year,One Year,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
4,Ratify PricewaterhouseCoopers LLP as Auditors,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
5,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,Shareholder,Against,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
6,Adopt Policy on Freedom of Association and Collective Bargaining,Shareholder,Against,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
7,Report on Prevention of Harassment and Discrimination in the Workplace - Withdrawn,Shareholder,,,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1,Open Meeting,Management,,,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.a,Receive Report of Management Board and Supervisory Board (Non-Voting),Management,,,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.b,Adopt Financial Statements and Statutory Reports,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.c,Receive Explanation on Company's Reserves and Dividend Policy,Management,,,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.d,Approve Remuneration Report,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.e,Approve Remuneration Policy for Management Board,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.f,Approve Remuneration Policy for the Supervisory Board,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2.g,Approve Increase Cap on Variable Remuneration for Staff Members,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
3,Approve Discharge of Management Board,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
4,Approve Discharge of Supervisory Board,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
5,Reelect Ingo Uytdehaage to Management Board as Co-Chief Executive Officer,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
6,Reelect Mariette Swart to Management Board as Chief Risk and Compliance Officer,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
7,Elect Brooke Nayden to Management Board as Chief Human Resources Officer,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
8,Elect Ethan Tandowsky to Management Board as Chief Financial Officer,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
9,Reelect Pamela Joseph to Supervisory Board,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
10,Reelect Joep van Beurden to Supervisory Board,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
11,Amend Articles of Association,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
12,Grant Board Authority to Issue Shares Up to 10 Percent of Issued Capital,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
13,Authorize Board to Exclude Preemptive Rights from Share Issuances,Management,For,For,ADYEN NV,"MAY 11, 2023",ADYEN,N3501V104,"APR 13, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
