proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,proxy_contest,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__company_data__fiscal_year_end,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
1e,Elect Director Charles M. Geschke,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1f,Elect Director Shantanu Narayen,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1g,Elect Director Kathleen Oberg,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1h,Elect Director Dheeraj Pandey,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1i,Elect Director David A. Ricks,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1j,Elect Director Daniel L. Rosensweig,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1k,Elect Director John E. Warnock,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2,Amend Qualified Employee Stock Purchase Plan,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
3,Ratify KPMG LLP as Auditors,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
4,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
5,Report on Gender Pay Gap,Shareholder,Against,Against,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1,Open Meeting,Management,,,ADYEN NV,"DEC 06, 2019",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2,Elect Mariette Bianca Swart to Management Board,Management,For,For,ADYEN NV,"DEC 06, 2019",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
3,Elect Kamran Zaki to Management Board,Management,For,For,ADYEN NV,"DEC 06, 2019",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
4,Close Meeting,Management,,,ADYEN NV,"DEC 06, 2019",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1,Open Meeting and Announcements,Management,,,ADYEN NV,"JAN 14, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2,Elect Joep van Beurden to Supervisory Board,Management,For,For,ADYEN NV,"JAN 14, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
3,Close Meeting,Management,,,ADYEN NV,"JAN 14, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1,Open Meeting,Management,,,ADYEN NV,"MAY 26, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2.a,Receive Report of Management Board (Non-Voting),Management,,,ADYEN NV,"MAY 26, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2.b,Approve Remuneration Report,Management,For,For,ADYEN NV,"MAY 26, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2.c,Adopt Annual Accounts,Management,For,For,ADYEN NV,"MAY 26, 2020",ADYEN,N3501V104,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
