fund_name,proposal_number,rec,vote_cast,sponsor,proxy_card,proxy_contest,proposal,company_name,ticker,cusip,meeting_type,meeting_date,record_date,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,filer__former_company_1__former_conformed_name,filer__former_company_1__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
SPDR Bloomberg Convertible Securities ETF,4,For,For,Management,,False,Approve Omnibus Stock Plan,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,5,For,Against,Management,,False,Amend Certificate of Incorporation to Reflect New Delaware Law Provisions Regarding Officer Exculpation,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,6,For,For,Management,,False,Adopt Majority Voting for Uncontested Election of Directors,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,7A,For,For,Management,,False,Eliminate Supermajority Vote Requirement to Amend Certificate of Incorporation,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,7B,For,For,Management,,False,Eliminate Supermajority Vote Requirement to Amend Bylaws,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,7C,For,For,Management,,False,Eliminate Supermajority Vote Requirement for Removal of Directors and Appointment of Directors in the Event the Entire Board of Directors is Removed,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1a,For,For,Management,,False,Elect Director Strauss Zelnick,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1b,For,For,Management,,False,Elect Director Michael Dornemann,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1c,For,For,Management,,False,Elect Director J Moses,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1d,For,Against,Management,,False,Elect Director Michael Sheresky,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1e,For,For,Management,,False,Elect Director LaVerne Srinivasan,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1f,For,For,Management,,False,Elect Director Susan Tolson,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1g,For,For,Management,,False,Elect Director Paul Viera,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1h,For,For,Management,,False,Elect Director Roland Hernandez,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1i,For,For,Management,,False,"Elect Director William ""Bing"" Gordon","TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1j,For,For,Management,,False,Elect Director Ellen Siminoff,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,2,For,Against,Management,,False,Advisory Vote to Ratify Named Executive Officers' Compensation,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,3,For,For,Management,,False,Ratify Ernst & Young LLP as Auditors,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,874054109,Annual,"SEP 16, 2022","JUL 25, 2022",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1a,For,For,Management,,False,Elect Director Janaki Akella,THE SOUTHERN COMPANY,SO,842587107,Annual,"MAY 24, 2023","MAR 27, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1b,For,For,Management,,False,"Elect Director Henry A. ""Hal"" Clark, III",THE SOUTHERN COMPANY,SO,842587107,Annual,"MAY 24, 2023","MAR 27, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1c,For,For,Management,,False,"Elect Director Anthony F. ""Tony"" Earley, Jr.",THE SOUTHERN COMPANY,SO,842587107,Annual,"MAY 24, 2023","MAR 27, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1d,For,For,Management,,False,Elect Director Thomas A. Fanning,THE SOUTHERN COMPANY,SO,842587107,Annual,"MAY 24, 2023","MAR 27, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1e,For,For,Management,,False,Elect Director David J. Grain,THE SOUTHERN COMPANY,SO,842587107,Annual,"MAY 24, 2023","MAR 27, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
