OWNER-CIK,SERIES-ID,SERIES-NAME,CLASS-CONTRACT-ID,CLASS-CONTRACT-NAME,CLASS-CONTRACT-TICKER-SYMBOL
0000320351,S000007485,Telecommunications Portfolio,C000205045,Fidelity Advisor Telecommunications Fund: Class Z,FIJGX
0000320351,S000007486,Biotechnology Portfolio,C000020460,Biotechnology Portfolio,FBIOX
0000320351,S000007487,Transportation Portfolio,C000020461,Transportation Portfolio,FSRFX
0000320351,S000007488,Utilities Portfolio,C000020462,Utilities Portfolio,FSUTX
0000320351,S000007489,Wireless Portfolio,C000020463,Wireless Portfolio,FWRLX
0000320351,S000007490,Brokerage and Investment Management Portfolio,C000020464,Brokerage and Investment Management Portfolio,FSLBX
0000320351,S000007491,Enterprise Technology Services Portfolio,C000020465,Enterprise Technology Services Portfolio,FBSOX
0000320351,S000007492,Chemicals Portfolio,C000020466,Chemicals Portfolio,FSCHX
0000320351,S000007493,Tech Hardware Portfolio,C000020467,Tech Hardware Portfolio,FDCPX
0000320351,S000007494,Construction and Housing Portfolio,C000020468,Construction and Housing Portfolio,FSHOX
0000320351,S000039312,Fidelity Telecom and Utilities Fund,C000121123,Fidelity Telecom and Utilities Fund,FIUIX
0000320351,S000039313,Fidelity Real Estate Investment Portfolio,C000121124,Fidelity Real Estate Investment Portfolio,FRESX
0000320351,S000039314,Fidelity International Real Estate Fund,C000121125,Fidelity Advisor International Real Estate Fund: Class A,FIRAX
0000320351,S000039314,Fidelity International Real Estate Fund,C000121127,Fidelity Advisor International Real Estate Fund: Class C,FIRCX
0000320351,S000039314,Fidelity International Real Estate Fund,C000121128,Fidelity Advisor International Real Estate Fund: Class M,FIRTX
0000320351,S000039314,Fidelity International Real Estate Fund,C000121129,Fidelity International Real Estate Fund,FIREX
0000320351,S000039314,Fidelity International Real Estate Fund,C000121130,Fidelity Advisor International Real Estate Fund: Class I,FIRIX
0000320351,S000039314,Fidelity International Real Estate Fund,C000205046,Fidelity Advisor International Real Estate Fund: Class Z,FIKLX
