proposal_number,proposal,rec,vote_cast,sponsor,proxy_card,proxy_contest,company_name,ticker,cusip,meeting_type,meeting_date,record_date,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__company_data__fiscal_year_end,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__street_2,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__street_2,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
1k.,Elect Management Nominee Robert S. Epstein,,TNA,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1l.,Elect Management Nominee John W. Thompson,,TNA,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
2.,Ratification of Auditor,,TNA,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
3.,Advisory Vote on Executive Compensation,,TNA,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
4.,Frequency of Advisory Vote on Executive Compensation,,TNA,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
5.,Amendment to the 2015 Stock and Incentive Plan,,TNA,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1A.,Elect Management Nominee Frances Arnold,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1B.,Elect Management Nominee Francis A. deSouza,For,Withhold,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1C.,Elect Management Nominee Caroline D. Dorsa,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1D.,Elect Management Nominee Robert S. Epstein,For,Withhold,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1E.,Elect Management Nominee Scott Gottlieb,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1F.,Elect Management Nominee Gary S. Guthart,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1G.,Elect Management Nominee Philip W. Schiller,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1H.,Elect Management Nominee Susan E. Siegel,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1I.,Elect Management Nominee John W. Thompson,For,Withhold,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1J.,Elect Icahn Nominee Vincent J. Intrieri,Withhold,For,Shareholder,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1K.,Elect Icahn Nominee Jesse A. Lynn,Withhold,Withhold,Shareholder,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
1L.,Elect Icahn Nominee Andrew J. Teno,Withhold,For,Shareholder,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
2.,Ratification of Auditor,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
3.,Advisory Vote on Executive Compensation,For,Against,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
4.,Frequency of Advisory Vote on Executive Compensation,1 Year,1 Year,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
5.,Amendment to the 2015 Stock and Incentive Plan,For,For,Management,,True,"ILLUMINA, INC.",ILMN,452327109,Proxy Contest,"MAY 25, 2023","APR 03, 2023",VANGUARD MID-CAP GROWTH FUND - FRONTIER,VANGUARD WHITEHALL FUNDS,0001004655,000000000,DE,1031,N-PX,1940 Act,811-07443,231210362,PO BOX 2600,V26,VALLEY FORGE,PA,19482,6106691000,PO BOX 2600,V26,VALLEY FORGE,PA,19482,VANGUARD WHITEHALL FUNDS INC,19951207,0001104659-23-095647,20230630,20230828,20230828,20230828,Vanguard Mid-Cap Growth Fund,86,0001004655,S000004408,Vanguard Mid-Cap Growth Fund,C000012166,Investor Shares,VMGRX
