proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,record_date,meeting_type,proxy_contest,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date
4.1,Reelect Jane Murphy as Independent Director,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
4.2,Reelect Lucrezia Reichlin as Independent Director,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
4.3,Reelect Yvonne Lang Ketterer as Independent Director,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
4.4,Reelect Richard Jackson as Independent Director,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
4.5,Reelect Antonio Cano as Director,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.1,Amend Article 1 Re: Definitions,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.2,Amend Article 2 Re: Name - Form,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.3,Amend Article 3 Re: Registered Office,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.4,Delete Article 6bis Re: Issue Premiums,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.5,Amend Article 7 Re: Form of the Shares,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.6,Amend Article 9 Re: Acquisition of Own Shares,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.7,Amend Article 10 Re: Board of Directors,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.8,Amend Article 11 Re: Board Deliberation and Decisions,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.1.9,Amend Article 12 Re: Executive Committee,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.10,Amend Article 13 Re: Representation,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.11,Amend Article 14 Re: Remuneration,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.12,Amend Article 15 Re: Ordinary Meeting of Shareholders,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.13,Amend Article 17 Re: Convocations,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.14,Amend Article 18 Re: Record Day and Proxies,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.15,Amend Article 19 Re: Procedure - Minutes of the Meeting,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.16,Amend Article 20 Re: Votes,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.17,Amend Article 22 Re: Annual Accounts,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
51.18,Amend Article 23 Re: Dividend,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.2,Approve Cancellation of Repurchased Shares,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.3.1,Receive Special Board Report Re: Authorized Capital,Management,,,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5.3.2,Renew Authorization to Increase Share Capital within the Framework of Authorized Capital,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
6,Authorize Repurchase of Up to 10 Percent of Issued Share Capital,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
7,Close Meeting,Management,,,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.1,Elect Director Joel S. Marcus,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.2,Elect Director Steven R. Hash,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.3,"Elect Director John L. Atkins, III",Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.4,Elect Director James P. Cain,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.5,Elect Director Maria C. Freire,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.6,Elect Director Jennifer Friel Goldstein,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.7,Elect Director Richard H. Klein,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.8,Elect Director James H. Richardson,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.9,Elect Director Michael A. Woronoff,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2,Amend Omnibus Stock Plan,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
4,Ratify Ernst & Young LLP as Auditors,Management,For,For,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","JUN 08, 2020",ARE,015271109,"MAR 31, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1,Receive Financial Statements and Statutory Reports for Fiscal 2019 (Non-Voting),Management,,,ALLIANZ SE,"MAY 06, 2020",ALV,D03080112,,ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2,Approve Allocation of Income and Dividends of EUR 9.60 per Share,Management,For,For,ALLIANZ SE,"MAY 06, 2020",ALV,D03080112,,ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
3,Approve Discharge of Management Board for Fiscal 2019,Management,For,For,ALLIANZ SE,"MAY 06, 2020",ALV,D03080112,,ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
4,Approve Discharge of Supervisory Board for Fiscal 2019,Management,For,For,ALLIANZ SE,"MAY 06, 2020",ALV,D03080112,,ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
5,Approve Affiliation Agreement with Allianz Africa Holding GmbH,Management,For,For,ALLIANZ SE,"MAY 06, 2020",ALV,D03080112,,ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.1,Elect Director Tamara Hughes Gustavson,Management,For,For,AMERICAN HOMES 4 RENT,"MAY 07, 2020",AMH,02665T306,"MAR 09, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
1.2,Elect Director David P. Singelyn,Management,For,For,AMERICAN HOMES 4 RENT,"MAY 07, 2020",AMH,02665T306,"MAR 09, 2020",ANNUAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
